id,Age,difficulty_during_transition
507,60-80,3
499,60-80,2
494,20-40,3
62,40-60,3
64,40-60,5
72,20-40,2
77,20-40,4
83,0-20,1
92,20-40,2
94,20-40,1
97,20-40,3
98,20-40,1
102,0-20,4
114,20-40,2
122,60-80,2
148,40-60,2
150,40-60,2
159,40-60,2
166,40-60,2
183,60-80,1
185,0-20,2
200,20-40,3
235,60-80,2
236,20-40,3
254,0-20,2
265,40-60,3
284,20-40,2
285,0-20,2
294,40-60,4
311,20-40,4
317,20-40,3
354,0-20,3
359,40-60,1
366,20-40,4
371,20-40,5
376,40-60,2
433,20-40,4
435,40-60,2
445,20-40,5
447,20-40,4
456,0-20,1
461,20-40,4
471,40-60,2
474,80-100,1
479,20-40,3
538,0-20,1
564,20-40,4
568,0-20,1
577,0-20,2
580,20-40,2
597,40-60,1
601,0-20,2
603,60-80,1
604,80-100,3
611,20-40,1
614,60-80,1
616,20-40,4
622,20-40,3
626,20-40,3
630,20-40,4
632,0-20,2
641,20-40,1
643,40-60,2
645,40-60,2
647,0-20,1
651,40-60,4
652,20-40,3
661,40-60,3
672,0-20,1
675,40-60,4
682,20-40,3
700,60-80,3
709,20-40,3
711,20-40,3
712,20-40,3
718,0-20,3
725,60-80,1
744,0-20,3
768,40-60,4
779,20-40,3
788,20-40,5
789,40-60,2
796,20-40,1
797,40-60,4
800,0-20,4
809,60-80,4
819,20-40,3
822,20-40,4
839,0-20,2
842,40-60,3
847,40-60,2
848,0-20,5
854,20-40,3
882,80-100,4
886,20-40,1
894,40-60,2
900,20-40,5
901,40-60,3
907,0-20,5
927,20-40,3
930,40-60,1
962,20-40,5
966,0-20,4
975,40-60,2
996,0-20,1
1007,60-80,4
1018,40-60,3
1019,0-20,4
1021,0-20,2
1029,0-20,5
1031,20-40,2
1047,60-80,2
1066,20-40,4
1096,60-80,4
1098,80-100,3
1102,80-100,4
1106,0-20,2
1110,20-40,2
1113,20-40,3
1129,40-60,3
1143,20-40,3
1145,20-40,2
1149,20-40,2
1158,20-40,1
1161,20-40,1
1163,20-40,5
1181,0-20,1
1182,20-40,5
1190,0-20,5
1194,20-40,3
1212,0-20,1
1213,0-20,4
1221,20-40,4
1228,20-40,3
1238,40-60,4
1242,40-60,4
1250,40-60,4
1254,20-40,2
1259,20-40,1
1261,20-40,3
1262,20-40,2
1264,0-20,4
1267,0-20,1
1269,0-20,2
1273,20-40,1
1285,20-40,1
1286,0-20,2
1288,20-40,2
1298,0-20,1
1300,0-20,5
1305,0-20,2
1319,20-40,1
1324,0-20,4
1326,0-20,1
1328,20-40,2
1335,0-20,1
1346,0-20,4
1351,20-40,2
1352,0-20,4
1363,20-40,1
1389,20-40,4
1395,20-40,4
1403,20-40,3
1435,0-20,1
1451,0-20,2
1454,20-40,5
1456,20-40,2
1461,20-40,4
1462,0-20,2
1463,20-40,1
1466,20-40,3
1467,0-20,2
1478,20-40,4
1480,20-40,1
1482,0-20,3
1506,0-20,3
1511,20-40,4
1513,0-20,2
1524,20-40,1
1526,0-20,2
1528,40-60,1
1533,0-20,3
1535,0-20,4
1536,0-20,4
1546,20-40,4
1547,20-40,3
1549,20-40,1
1571,20-40,4
1573,20-40,5
1575,0-20,2
1583,40-60,4
1601,0-20,4
1620,60-80,2
1630,0-20,2
1661,20-40,2
1665,0-20,3
1668,20-40,4
1685,20-40,1
1688,40-60,3
1705,40-60,1
1708,20-40,2
1711,40-60,5
1722,20-40,2
1728,40-60,2
1743,40-60,1
1748,0-20,3
1749,40-60,1
1755,20-40,4
1761,0-20,5
1768,0-20,1
1770,0-20,3
1775,20-40,1
1801,40-60,3
1808,0-20,1
1817,20-40,4
1823,20-40,1
1831,20-40,1
1855,20-40,2
1857,20-40,1
1879,0-20,2
1888,20-40,2
1890,0-20,3
1894,40-60,1
1914,20-40,3
1915,60-80,1
1926,0-20,4
1927,20-40,3
1929,40-60,3
1941,20-40,3
1959,20-40,3
1968,0-20,2
1971,0-20,3
1992,20-40,2
2024,20-40,1
2027,60-80,1
2063,40-60,3
2064,40-60,3
2066,40-60,5
2072,0-20,1
2079,20-40,1
2086,40-60,2
2091,20-40,1
2100,20-40,1
2105,20-40,3
2106,80-100,2
2108,80-100,2
2121,0-20,1
2130,20-40,3
2168,40-60,4
2177,0-20,1
2183,20-40,5
2189,20-40,2
2198,20-40,1
2222,0-20,3
2223,20-40,4
2224,60-80,4
2229,40-60,1
2246,60-80,1
2256,40-60,4
2260,40-60,4
2265,20-40,2
2266,20-40,2
2281,40-60,1
2289,40-60,2
2302,60-80,3
2314,40-60,1
2332,60-80,3
2344,20-40,1
2347,20-40,3
2349,60-80,1
2360,0-20,2
2392,20-40,2
2397,0-20,3
2403,0-20,1
2406,20-40,2
2410,20-40,1
2418,0-20,4
2419,0-20,3
2421,40-60,4
2444,0-20,2
2466,20-40,4
2475,20-40,5
2476,0-20,2
2481,60-80,5
2485,20-40,2
2496,40-60,3
2497,60-80,2
2502,0-20,1
2505,0-20,2
2507,60-80,3
2513,60-80,3
2518,40-60,5
2531,0-20,1
2540,40-60,1
2546,80-100,1
2554,20-40,1
2556,20-40,3
2558,20-40,3
2565,20-40,4
2589,0-20,3
2607,40-60,3
2627,40-60,2
2629,60-80,1
2636,20-40,1
2660,40-60,4
2666,20-40,4
2685,20-40,2
2686,20-40,4
2707,20-40,2
2712,20-40,2
2727,40-60,4
2762,20-40,5
2764,20-40,1
2770,20-40,3
2780,20-40,2
2791,40-60,4
2793,40-60,3
2803,20-40,4
2806,60-80,1
2817,40-60,3
2819,60-80,4
2823,20-40,4
2829,60-80,1
2849,20-40,5
2850,20-40,3
2862,20-40,3
2885,20-40,1
2898,80-100,4
2914,0-20,1
2916,20-40,3
2928,60-80,2
2935,60-80,2
2949,20-40,5
2961,20-40,1
2966,60-80,1
2971,40-60,3
2977,0-20,2
2980,20-40,4
3000,20-40,2
3001,20-40,1
3006,20-40,2
3013,20-40,2
3014,0-20,1
3035,0-20,2
3042,20-40,1
3051,60-80,2
3065,0-20,2
3114,20-40,1
3142,20-40,1
3143,0-20,1
3166,80-100,3
3175,20-40,1
3178,40-60,2
3183,0-20,1
3214,20-40,4
3222,40-60,3
3226,60-80,1
3238,40-60,5
3247,20-40,3
3249,20-40,2
3278,60-80,2
3291,20-40,2
3293,20-40,4
3307,20-40,3
3309,0-20,3
3323,40-60,2
3326,40-60,3
3367,20-40,3
3370,0-20,2
3416,0-20,4
3443,20-40,5
3449,0-20,2
3459,80-100,3
3462,20-40,2
3463,40-60,1
3465,40-60,3
3471,0-20,3
3483,20-40,3
3499,0-20,1
3504,40-60,1
3524,40-60,2
3535,20-40,2
3537,60-80,5
3539,20-40,4
3562,20-40,4
3563,0-20,1
3596,20-40,2
3603,40-60,3
3623,20-40,5
3630,60-80,1
3650,20-40,3
3659,20-40,5
3660,60-80,2
3688,40-60,4
3693,20-40,3
3710,0-20,1
3733,20-40,3
3737,20-40,4
3763,20-40,3
3778,20-40,3
3810,20-40,1
3812,20-40,1
3826,0-20,1
3827,40-60,4
3846,20-40,3
3850,40-60,3
3851,40-60,2
3852,40-60,2
3855,0-20,3
3868,20-40,4
3869,40-60,3
3884,20-40,1
3893,20-40,5
3897,40-60,1
3898,40-60,2
3909,20-40,3
3915,40-60,3
3918,80-100,2
3925,40-60,2
3935,80-100,3
3942,20-40,1
3954,60-80,1
3960,20-40,1
3964,20-40,1
3984,40-60,4
3978,20-40,4
3981,20-40,1
3995,40-60,1
3999,0-20,1
4004,60-80,2
4014,0-20,3
4018,40-60,2
4026,40-60,4
4066,0-20,2
4070,60-80,3
4073,0-20,5
4074,40-60,2
4078,20-40,5
4086,60-80,2
4088,40-60,2
4090,20-40,4
4093,20-40,1
4096,40-60,3
4107,20-40,5
4113,20-40,1
4117,60-80,4
4130,60-80,4
4133,40-60,1
4140,20-40,2
4141,60-80,1
4160,0-20,3
4164,0-20,4
4191,40-60,2
4192,0-20,1
4209,0-20,3
4210,20-40,2
4214,20-40,1
4247,20-40,1
4257,20-40,2
4269,0-20,1
4276,20-40,3
4282,0-20,1
4292,0-20,3
4301,20-40,3
4306,0-20,3
4308,20-40,5
4319,20-40,2
4321,20-40,2
4322,20-40,3
4341,40-60,2
4348,0-20,2
4355,20-40,3
4357,0-20,1
4371,40-60,3
4379,0-20,2
4387,40-60,3
4389,20-40,1
4402,0-20,3
4409,0-20,2
4416,20-40,4
4425,20-40,1
4435,0-20,3
4450,20-40,1
4454,20-40,3
4457,0-20,4
4467,0-20,4
4472,0-20,1
4484,0-20,4
4494,0-20,2
4512,20-40,3
4520,20-40,1
4524,0-20,2
4552,80-100,3
4565,20-40,3
4569,0-20,3
4574,40-60,1
4575,60-80,1
4576,20-40,1
4582,0-20,1
4584,20-40,3
4599,0-20,3
4613,20-40,1
4615,20-40,1
4626,20-40,4
4630,0-20,3
4637,0-20,4
4638,0-20,2
4642,20-40,5
4652,20-40,2
4663,40-60,1
4676,20-40,1
4683,0-20,3
4692,20-40,4
4705,20-40,2
4707,40-60,5
4731,20-40,1
4734,20-40,4
4737,0-20,2
4738,0-20,2
4763,0-20,1
4765,40-60,2
4777,0-20,1
4787,20-40,4
4793,0-20,4
4797,40-60,4
4801,20-40,3
4804,20-40,5
4806,20-40,2
4812,20-40,2
4822,20-40,3
4841,20-40,4
4849,0-20,2
4852,20-40,1
4856,20-40,2
4864,0-20,1
4865,20-40,3
4881,20-40,2
4883,20-40,3
4904,40-60,5
4913,20-40,5
4939,20-40,1
4941,20-40,2
4964,60-80,1
4979,0-20,3
4991,20-40,3
4992,0-20,1
5002,20-40,2
5006,20-40,5
5010,20-40,4
5017,20-40,1
5025,20-40,1
5035,20-40,3
5037,20-40,3
5061,20-40,2
5066,0-20,2
5067,0-20,4
5070,0-20,1
5075,20-40,3
5084,0-20,5
5099,40-60,1
5101,0-20,1
5115,0-20,4
5123,0-20,2
5134,20-40,2
5136,20-40,4
5138,20-40,3
5140,20-40,3
5166,20-40,3
5167,0-20,1
5168,0-20,2
5182,20-40,3
5191,20-40,4
5193,40-60,1
5198,0-20,4
5204,20-40,2
5209,60-80,1
5211,0-20,4
5238,20-40,3
5240,20-40,1
5250,0-20,2
5258,20-40,4
5260,0-20,1
5272,20-40,5
5273,0-20,3
5281,0-20,3
5291,20-40,4
5297,0-20,3
5311,20-40,4
5312,20-40,4
5321,20-40,2
5324,20-40,4
5335,20-40,3
5352,20-40,3
5369,0-20,4
5392,0-20,1
5395,0-20,5
5400,40-60,2
5402,60-80,2
5404,20-40,5
5420,20-40,1
5422,20-40,1
5428,0-20,1
5437,40-60,1
5449,0-20,5
5453,40-60,1
5480,0-20,3
5483,0-20,3
5503,20-40,2
5506,20-40,3
5514,20-40,1
5516,0-20,4
5522,0-20,4
5523,20-40,2
5541,20-40,5
5556,20-40,3
5564,0-20,1
5565,20-40,5
5582,0-20,4
5598,0-20,3
5607,0-20,1
5611,0-20,4
5613,0-20,2
5620,20-40,3
5639,80-100,2
5643,0-20,4
5646,20-40,1
5648,0-20,3
5649,20-40,3
5650,20-40,5
5663,20-40,3
5674,0-20,3
5677,0-20,1
5690,20-40,1
5691,20-40,1
5693,80-100,4
5694,0-20,2
5708,20-40,1
5711,40-60,3
5722,0-20,4
5729,20-40,3
5731,0-20,4
5737,0-20,1
5741,0-20,5
5763,20-40,4
5779,0-20,4
5795,0-20,4
5805,40-60,3
5830,20-40,4
5848,20-40,4
5849,40-60,3
5850,0-20,1
5852,20-40,1
5856,0-20,2
5862,20-40,2
5865,20-40,1
5879,40-60,2
5883,0-20,1
5884,40-60,1
5885,40-60,1
5888,0-20,4
5895,20-40,4
5908,0-20,1
5927,0-20,3
5937,80-100,2
5942,40-60,5
5970,40-60,3
5971,60-80,4
5979,0-20,2
5988,20-40,3
5989,20-40,5
5998,40-60,1
6007,60-80,1
6020,20-40,1
6024,60-80,5
6039,0-20,4
6048,0-20,3
6056,20-40,4
6063,40-60,1
6065,80-100,2
6086,80-100,3
6089,40-60,4
6091,0-20,2
6108,20-40,2
6127,0-20,5
6130,40-60,3
6136,40-60,5
6150,20-40,1
6151,60-80,1
6175,60-80,3
6176,40-60,2
6177,0-20,1
6188,0-20,3
6198,20-40,2
6211,40-60,3
6213,60-80,1
6220,40-60,3
6236,40-60,2
6240,20-40,2
6252,60-80,1
6253,40-60,2
6254,20-40,1
6259,60-80,2
6261,0-20,1
6263,20-40,3
6266,60-80,1
6269,20-40,4
6284,20-40,2
6286,60-80,1
6299,20-40,2
6300,20-40,2
6301,0-20,4
6304,0-20,1
6308,20-40,5
6318,20-40,4
6327,20-40,3
6328,20-40,1
6330,60-80,2
6331,20-40,1
6343,20-40,5
6347,20-40,2
6354,40-60,5
6355,40-60,1
6356,20-40,4
6359,0-20,2
6380,40-60,2
6402,20-40,5
6413,80-100,1
6417,0-20,1
6419,80-100,3
6443,0-20,2
6444,20-40,3
6472,40-60,3
6481,40-60,3
6493,0-20,1
6496,20-40,1
6510,0-20,5
6515,0-20,4
6527,60-80,1
6533,40-60,4
6535,40-60,3
6565,20-40,3
6570,20-40,2
6578,20-40,3
6579,20-40,1
6593,60-80,1
6603,20-40,3
6606,40-60,5
6619,20-40,2
6629,0-20,2
6657,80-100,4
6697,20-40,1
6710,60-80,2
6737,40-60,1
6739,20-40,2
6750,0-20,3
6754,20-40,2
6760,0-20,2
6765,20-40,3
6771,40-60,3
6796,0-20,4
6799,20-40,2
6814,20-40,5
6824,20-40,4
6830,40-60,1
6831,20-40,2
6833,20-40,4
6835,20-40,3
6843,60-80,1
6849,40-60,1
6852,20-40,1
6857,20-40,1
6864,20-40,2
6867,20-40,2
6869,40-60,2
6882,0-20,1
6883,0-20,5
6907,20-40,2
6920,0-20,1
6924,20-40,5
6956,20-40,5
6959,20-40,4
6967,20-40,3
6971,0-20,2
6976,0-20,4
6977,20-40,2
6980,80-100,4
6994,20-40,1
7002,0-20,3
7004,20-40,3
7022,40-60,2
7025,0-20,2
7033,20-40,1
7043,20-40,3
7070,20-40,3
7078,0-20,3
7088,40-60,2
7100,0-20,2
7101,0-20,4
7103,0-20,2
7124,40-60,1
7129,0-20,3
7145,0-20,2
7146,40-60,4
7149,20-40,3
7154,0-20,5
7167,0-20,2
7169,20-40,3
7188,20-40,5
7198,0-20,3
7204,0-20,2
7205,40-60,3
7211,20-40,4
7218,80-100,3
7224,0-20,1
7255,40-60,2
7256,20-40,2
7261,0-20,1
7267,0-20,1
7277,0-20,3
7283,0-20,4
7285,20-40,4
7286,0-20,3
7308,20-40,1
7321,20-40,1
7336,20-40,4
7348,20-40,2
7352,0-20,4
7353,0-20,4
7366,20-40,1
7379,0-20,2
7402,60-80,3
7408,40-60,4
7429,0-20,3
7445,20-40,4
7450,40-60,3
7455,0-20,1
7457,40-60,5
7465,60-80,1
7475,40-60,1
7478,40-60,2
7482,40-60,4
7490,40-60,1
7492,0-20,4
7520,20-40,3
7524,40-60,1
7591,20-40,4
7610,60-80,1
7616,0-20,1
7618,40-60,2
7620,60-80,5
7625,20-40,3
7632,60-80,2
7641,60-80,2
7655,40-60,4
7661,20-40,1
7662,20-40,2
7671,0-20,2
7672,40-60,1
7680,20-40,3
7682,20-40,2
7685,0-20,3
7689,20-40,2
7698,20-40,4
7701,0-20,3
7716,40-60,3
7724,60-80,5
7736,20-40,2
7741,0-20,2
7745,20-40,2
7755,20-40,2
7767,80-100,4
7790,60-80,1
7792,0-20,2
7799,20-40,1
7804,20-40,3
7819,60-80,3
7831,40-60,2
7852,20-40,1
7884,40-60,4
7886,60-80,4
7909,40-60,3
7920,60-80,2
7922,20-40,1
7939,0-20,2
7951,20-40,2
7956,60-80,4
7980,60-80,3
7982,0-20,1
8001,20-40,4
8012,40-60,2
8029,20-40,3
8050,20-40,1
8061,0-20,1
8064,20-40,4
8080,0-20,3
8083,40-60,3
8088,0-20,4
8103,60-80,3
8171,20-40,1
8210,40-60,1
8211,40-60,1
8213,40-60,2
8246,40-60,1
8264,60-80,3
8274,60-80,1
8288,40-60,2
8296,0-20,3
8298,20-40,2
8303,40-60,1
8310,60-80,4
8334,20-40,1
8360,0-20,3
8377,40-60,3
8405,20-40,1
8411,40-60,2
8414,40-60,4
8420,20-40,3
8422,40-60,3
8434,40-60,1
8440,20-40,1
8447,60-80,2
8450,40-60,2
8481,40-60,3
8486,60-80,1
8490,80-100,1
8491,40-60,1
8520,40-60,1
8523,20-40,4
8535,40-60,2
8545,40-60,4
8551,40-60,1
8567,20-40,3
8576,20-40,1
8584,40-60,1
8599,40-60,2
8602,0-20,1
8614,0-20,2
8621,20-40,5
8622,40-60,3
8646,40-60,1
8650,20-40,1
8669,60-80,4
8680,60-80,1
8689,40-60,1
8710,60-80,1
8724,20-40,5
8742,40-60,3
8767,60-80,2
8778,0-20,4
8793,20-40,5
8809,20-40,4
8819,40-60,1
8823,20-40,3
8828,0-20,3
8838,20-40,2
8842,60-80,3
8883,0-20,3
8887,20-40,5
8898,40-60,1
8910,20-40,1
8918,40-60,4
8935,40-60,1
8956,0-20,3
8981,0-20,2
8997,40-60,3
8999,60-80,2
9022,20-40,3
9039,20-40,2
9040,40-60,1
9042,0-20,3
9051,0-20,4
9066,80-100,3
9076,0-20,3
9085,0-20,2
9090,0-20,3
9092,0-20,1
9104,0-20,1
9111,0-20,4
9117,80-100,3
9120,40-60,2
9123,20-40,3
9143,20-40,2
9145,60-80,2
9170,40-60,1
9175,40-60,4
9183,60-80,3
9193,20-40,3
9207,60-80,3
9217,40-60,3
9223,20-40,4
9250,20-40,2
9255,20-40,4
9264,40-60,3
9279,0-20,2
9285,60-80,5
9291,40-60,1
9299,40-60,4
9309,40-60,2
9320,20-40,4
9324,20-40,1
9358,20-40,2
9375,40-60,3
9391,0-20,2
9402,0-20,1
9413,20-40,5
9425,40-60,4
9445,40-60,2
9462,20-40,2
9556,20-40,2
9561,20-40,1
9566,20-40,4
9576,0-20,4
9577,0-20,1
9578,0-20,2
9591,0-20,2
9592,20-40,4
9608,0-20,1
9610,20-40,5
9614,40-60,5
9626,0-20,3
9631,20-40,5
9635,20-40,2
9647,60-80,1
9655,20-40,3
9666,40-60,1
9672,0-20,3
9675,0-20,4
9678,40-60,3
9690,0-20,4
9692,20-40,2
9703,0-20,1
9709,20-40,2
9714,40-60,3
9733,0-20,3
9743,20-40,5
9750,20-40,4
9757,0-20,1
9762,40-60,4
9765,20-40,1
9774,0-20,4
9779,20-40,1
9784,20-40,1
9792,0-20,3
9795,40-60,4
9798,20-40,4
9809,0-20,3
9812,40-60,5
9828,20-40,1
9844,20-40,2
9872,20-40,1
9875,0-20,2
9890,40-60,2
9901,20-40,1
9910,40-60,2
9916,60-80,3
9924,40-60,4
9928,0-20,3
9934,0-20,1
9938,40-60,5
9949,20-40,1
9968,20-40,2
9984,0-20,1
9985,0-20,1
9989,20-40,3
9993,0-20,1
10005,0-20,4
10007,20-40,3
10009,0-20,1
10012,20-40,4
10017,20-40,2
10019,40-60,2
10023,0-20,1
10028,40-60,1
10029,60-80,1
10040,40-60,1
10045,40-60,3
10051,40-60,3
10057,60-80,3
10099,0-20,2
10100,0-20,1
10102,60-80,4
10110,40-60,3
10122,20-40,4
10123,60-80,4
10127,40-60,4
10139,40-60,3
10161,0-20,1
10164,40-60,3
10184,20-40,1
10188,20-40,1
10193,0-20,1
10196,40-60,3
10211,20-40,2
10224,60-80,1
10230,20-40,2
10240,60-80,3
10250,20-40,4
10257,20-40,4
10265,40-60,1
10270,20-40,1
10284,20-40,1
10285,20-40,2
10288,60-80,4
10289,60-80,1
10300,40-60,2
10303,60-80,1
10307,20-40,4
10309,60-80,2
10314,60-80,5
10326,0-20,2
10335,60-80,2
10352,40-60,2
10369,40-60,1
10370,0-20,1
10400,0-20,5
10402,20-40,3
10429,0-20,1
10435,60-80,2
10439,0-20,1
10443,40-60,4
10474,0-20,4
10476,40-60,3
10483,40-60,1
10488,60-80,1
10490,40-60,1
10492,20-40,3
10495,40-60,2
10501,80-100,5
10508,40-60,2
10509,20-40,5
10516,40-60,3
10535,20-40,4
10560,20-40,4
10563,60-80,1
10572,60-80,3
10574,0-20,1
10580,40-60,1
10582,0-20,3
10599,80-100,2
10601,0-20,2
10649,20-40,4
10679,60-80,1
10680,0-20,3
10689,60-80,3
10690,60-80,3
10693,20-40,1
10711,20-40,1
10716,20-40,1
10719,40-60,1
10726,0-20,5
10749,0-20,5
10752,40-60,2
10769,80-100,5
10772,0-20,1
10780,20-40,2
10782,20-40,2
10783,20-40,3
10787,0-20,1
10801,20-40,4
10802,0-20,3
10809,40-60,2
10817,60-80,4
10821,80-100,3
10829,20-40,5
10831,0-20,4
10837,0-20,3
10851,0-20,2
10854,40-60,1
10855,0-20,4
10858,0-20,2
10859,40-60,4
10865,40-60,5
10874,0-20,1
10877,0-20,4
10884,20-40,1
10886,0-20,3
10887,20-40,1
10905,0-20,4
10907,0-20,5
10913,80-100,4
10928,20-40,2
10937,0-20,1
10946,0-20,1
10957,20-40,2
10959,0-20,5
10962,20-40,2
10974,20-40,4
10982,0-20,3
10984,20-40,1
10988,40-60,3
11001,40-60,3
11002,20-40,1
11007,20-40,4
11023,0-20,1
11028,0-20,1
11029,0-20,4
11038,20-40,1
11045,20-40,1
11054,0-20,1
11056,20-40,3
11069,0-20,2
11074,0-20,5
11077,40-60,3
11094,0-20,4
11096,0-20,1
11099,20-40,2
11101,40-60,1
11121,80-100,1
11127,0-20,1
11133,80-100,3
11136,0-20,2
11139,20-40,5
11142,20-40,4
11156,0-20,2
11185,0-20,1
11214,20-40,2
11224,0-20,2
11234,20-40,1
11236,20-40,1
11238,20-40,2
11251,40-60,4
11257,0-20,1
11258,20-40,3
11264,0-20,1
11274,0-20,1
11270,20-40,1
11272,20-40,2
11279,0-20,2
11285,0-20,1
11286,20-40,5
11290,0-20,3
11299,0-20,5
11309,0-20,3
11314,40-60,3
11317,0-20,4
11320,0-20,3
11333,20-40,2
11334,20-40,1
11345,20-40,3
11349,40-60,3
11352,40-60,4
11361,20-40,5
11384,20-40,4
11394,20-40,1
11395,20-40,2
11412,20-40,3
11434,20-40,2
11436,0-20,3
11459,0-20,1
11474,20-40,4
11479,20-40,4
11483,40-60,2
11491,40-60,1
11499,20-40,1
11512,20-40,4
11517,20-40,3
11521,20-40,2
11532,0-20,2
11533,20-40,3
11536,20-40,1
11539,20-40,2
11559,20-40,1
11560,40-60,2
11561,40-60,2
11571,20-40,3
11578,20-40,2
11590,40-60,3
11598,40-60,1
11611,20-40,1
11635,0-20,4
11649,0-20,2
11653,40-60,2
11654,20-40,4
11666,0-20,1
11675,0-20,3
11677,0-20,1
11691,20-40,1
11694,0-20,5
11702,20-40,1
11719,0-20,5
11720,0-20,2
11743,20-40,3
11747,0-20,3
11763,0-20,1
11764,20-40,1
11772,40-60,3
11780,20-40,4
11782,60-80,4
11783,20-40,2
11789,0-20,4
11791,0-20,2
11794,40-60,2
11798,20-40,2
11806,20-40,3
11814,20-40,5
11817,0-20,4
11829,0-20,5
11866,20-40,1
11869,0-20,4
11876,40-60,3
11889,0-20,3
11892,20-40,2
11898,20-40,3
11905,20-40,3
11906,0-20,4
11908,20-40,4
11918,20-40,5
11935,40-60,1
11937,40-60,3
11942,20-40,2
11943,20-40,3
11955,40-60,2
11957,40-60,2
11959,40-60,4
11969,0-20,1
11980,80-100,2
11981,0-20,4
11985,20-40,1
11991,20-40,3
12002,80-100,4
12004,40-60,4
12005,0-20,3
12027,0-20,2
12031,0-20,2
12032,20-40,2
12044,0-20,1
12048,40-60,2
12055,20-40,1
12063,0-20,4
12082,20-40,4
12083,20-40,4
12105,20-40,4
12124,20-40,3
12127,0-20,1
12137,20-40,4
12139,20-40,2
12140,0-20,3
12145,0-20,4
12149,0-20,5
12150,0-20,2
12153,20-40,4
12174,20-40,4
12176,0-20,1
12180,40-60,3
12185,0-20,2
12190,60-80,2
12194,60-80,1
12197,40-60,2
12202,0-20,4
12239,0-20,2
12243,20-40,2
12258,60-80,3
12271,0-20,2
12272,40-60,2
12273,0-20,1
12274,0-20,1
12277,40-60,1
12278,0-20,5
12287,20-40,2
12288,40-60,4
12291,0-20,1
12294,40-60,5
12296,20-40,1
12307,0-20,4
12333,0-20,2
12334,20-40,5
12357,20-40,3
12378,20-40,3
12400,80-100,1
